Name            Location        Type    Namespace       Source  Reference Count Offcut Ref Count
del_ang         000025b4        Data Label      Global  User Defined    11      0
deltay          000025b6        Data Label      Global  User Defined    0       0
deltay1         000025b8        Data Label      Global  User Defined    0       0
deltay2         000025ba        Data Label      Global  User Defined    0       0
end_ang         000025bc        Data Label      Global  User Defined    7       0
fil_intersect   000025be        Data Label      Global  User Defined    5       0
fill_maxy       000025c0        Data Label      Global  User Defined    7       0
fill_miny       000025c2        Data Label      Global  User Defined    9       0
n_steps         000025c4        Data Label      Global  User Defined    20      0
odeltay         000025c6        Data Label      Global  User Defined    0       0
s_begsty        000025c8        Data Label      Global  User Defined    3       1
s_endsty        000025ca        Data Label      Global  User Defined    3       1
s_fil_col       000025cc        Data Label      Global  User Defined    2       0
s_fill_per      000025ce        Data Label      Global  User Defined    2       0
s_patmsk        000025d0        Data Label      Global  User Defined    0       0
s_patptr        000025d2        Data Label      Global  User Defined    0       0
start           000025d6        Data Label      Global  User Defined    2       0
xc              000025d8        Data Label      Global  User Defined    15      0
xrad            000025da        Data Label      Global  User Defined    22      0
_Y              000025dc        Data Label      Global  User Defined    0       0
yc              000025de        Data Label      Global  User Defined    14      0
yrad            000025e0        Data Label      Global  User Defined    22      0
m_poshx         000025e2        Data Label      Global  User Defined    1       0
m_poshy         000025e4        Data Label      Global  User Defined    1       0
m_planes        000025e6        Data Label      Global  User Defined    1       0
m_cdb_bg        000025e8        Data Label      Global  User Defined    1       0
m_cdb_fg        000025ea        Data Label      Global  User Defined    1       0
mask_form       000025ec        Data Label      Global  User Defined    1       3
INQ_TAB         0000262c        Data Label      Global  User Defined    3       6
DEV_TAB         00002686        Data Label      Global  User Defined    15      8
GCURX           000026e0        Data Label      Global  User Defined    7       0
GCURY           000026e2        Data Label      Global  User Defined    7       0
HIDE_CNT        000026e4        Data Label      Global  User Defined    9       0
MOUSE_BT        000026e6        Data Label      Global  User Defined    3       0
REQ_COL         000026e8        Data Label      Global  User Defined    5       3
SIZ_TAB         00002748        Data Label      Global  User Defined    7       8
TERM_CH         00002766        Data Label      Global  User Defined    16      0
chc_mode        00002768        Data Label      Global  User Defined    4       0
cur_work        0000276a        Data Label      Global  User Defined    73      0
def_font        0000276e        Data Label      Global  User Defined    3       0
font_ring       00002772        Data Label      Global  User Defined    10      3
ini_font_count  00002782        Data Label      Global  User Defined    3       0
line_cw         00002784        Data Label      Global  User Defined    3       0
loc_mode        00002786        Data Label      Global  User Defined    4       0
num_qc_lines    00002788        Data Label      Global  User Defined    6       0
q_circle        0000278a        Data Label      Global  User Defined    15      2
str_mode        000027da        Data Label      Global  User Defined    4       0
val_mode        000027dc        Data Label      Global  User Defined    3       0
cur_ms_stat     000027de        Data Label      Global  User Defined    8       0
disab_cnt       000027e0        Data Label      Global  User Defined    6       0
xydraw          000027e2        Data Label      Global  User Defined    5       1
draw_flag       000027e6        Data Label      Global  User Defined    5       0
mouse_flag      000027e7        Data Label      Global  User Defined    9       0
retsav          000027e8        Data Label      Global  User Defined    2       0
sav_cxy         000027ec        Data Label      Global  User Defined    4       1
save_len        000027f0        Data Label      Global  User Defined    0       0
save_addr       000027f2        Data Label      Global  User Defined    0       0
save_stat       000027f6        Data Label      Global  User Defined    0       0
save_area       000027f8        Data Label      Global  User Defined    0       3
tim_addr        000028f8        Data Label      Global  User Defined    4       0
tim_chain       000028fc        Data Label      Global  User Defined    3       0
user_but        00002900        Data Label      Global  User Defined    4       0
user_cur        00002904        Data Label      Global  User Defined    4       0
user_mot        00002908        Data Label      Global  User Defined    4       0
v_cel_ht        0000290c        Data Label      Global  User Defined    4       0
v_celmx         0000290e        Data Label      Global  User Defined    13      0
v_celmy         00002910        Data Label      Global  User Defined    14      0
v_cel_wr        00002912        Data Label      Global  User Defined    8       0
v_col_bg        00002914        Data Label      Global  User Defined    4       0
v_col_fg        00002916        Data Label      Global  User Defined    3       0
v_cur_ad        00002918        Data Label      Global  User Defined    10      0
v_cur_off       0000291c        Data Label      Global  User Defined    3       0
v_curcx         0000291e        Data Label      Global  User Defined    16      0
v_curcy         00002920        Data Label      Global  User Defined    22      0
vct_init        00002922        Data Label      Global  User Defined    4       0
v_cur_tim       00002923        Data Label      Global  User Defined    4       0
v_fnt_ad        00002924        Data Label      Global  User Defined    2       0
v_fnt_nd        00002928        Data Label      Global  User Defined    2       0
v_fnt_st        0000292a        Data Label      Global  User Defined    2       0
v_fnt_wr        0000292c        Data Label      Global  User Defined    2       0
v_hz_rez        0000292e        Data Label      Global  User Defined    2       0
v_off_ad        00002930        Data Label      Global  User Defined    2       0
V_STAT_0        00002934        Data Label      Global  User Defined    35      0
v_delay         00002935        Data Label      Global  User Defined    0       0
v_vt_rez        00002936        Data Label      Global  User Defined    2       0
bytes_lin       00002938        Data Label      Global  User Defined    2       0
lineavars       0000293a        Data Label      Global  User Defined    0       0
v_planes        0000293a        Data Label      Global  User Defined    26      0
v_lin_wr        0000293c        Data Label      Global  User Defined    14      0
CONTRL          0000293e        Data Label      Global  User Defined    93      0
INTIN           00002942        Data Label      Global  User Defined    60      0
PTSIN           00002946        Data Label      Global  User Defined    47      0
INTOUT          0000294a        Data Label      Global  User Defined    49      0
PTSOUT          0000294e        Data Label      Global  User Defined    29      0
FG_BP_1         00002952        Data Label      Global  User Defined    10      0
FG_BP_2         00002954        Data Label      Global  User Defined    6       0
FG_BP_3         00002956        Data Label      Global  User Defined    6       0
FG_BP_4         00002958        Data Label      Global  User Defined    6       0
LSTLIN          0000295a        Data Label      Global  User Defined    8       0
LN_MASK         0000295c        Data Label      Global  User Defined    18      1
WRT_MODE        0000295e        Data Label      Global  User Defined    17      0
X1              00002960        Data Label      Global  User Defined    42      0
Y1              00002962        Data Label      Global  User Defined    39      0
X2              00002964        Data Label      Global  User Defined    33      0
Y2              00002966        Data Label      Global  User Defined    22      0
patptr          00002968        Data Label      Global  User Defined    7       0
patmsk          0000296c        Data Label      Global  User Defined    6       0
multifill       0000296e        Data Label      Global  User Defined    7       0
CLIP            00002970        Data Label      Global  User Defined    12      0
XMN_CLIP        00002972        Data Label      Global  User Defined    18      0
YMN_CLIP        00002974        Data Label      Global  User Defined    20      0
XMX_CLIP        00002976        Data Label      Global  User Defined    17      0
YMX_CLIP        00002978        Data Label      Global  User Defined    19      0
XACC_DDA        0000297a        Data Label      Global  User Defined    6       0
DDA_INC         0000297c        Data Label      Global  User Defined    11      0
T_SCLSTS        0000297e        Data Label      Global  User Defined    5       0
MONO_STATUS     00002980        Data Label      Global  User Defined    4       0
SOURCEX         00002982        Data Label      Global  User Defined    11      0
SOURCEY         00002984        Data Label      Global  User Defined    9       0
DESTX           00002986        Data Label      Global  User Defined    20      0
DESTY           00002988        Data Label      Global  User Defined    19      0
DELX            0000298a        Data Label      Global  User Defined    22      0
DELY            0000298c        Data Label      Global  User Defined    25      0
FBASE           0000298e        Data Label      Global  User Defined    6       0
FWIDTH          00002992        Data Label      Global  User Defined    6       0
STYLE           00002994        Data Label      Global  User Defined    12      0
LITEMASK        00002996        Data Label      Global  User Defined    2       0
SKEWMASK        00002998        Data Label      Global  User Defined    4       0
WEIGHT          0000299a        Data Label      Global  User Defined    5       0
R_OFF           0000299c        Data Label      Global  User Defined    3       0
L_OFF           0000299e        Data Label      Global  User Defined    3       0
SCALE           000029a0        Data Label      Global  User Defined    8       0
CHUP            000029a2        Data Label      Global  User Defined    13      0
TEXT_FG         000029a4        Data Label      Global  User Defined    4       0
scrtchp         000029a6        Data Label      Global  User Defined    3       0
scrpt2          000029aa        Data Label      Global  User Defined    2       0
TEXT_BG         000029ac        Data Label      Global  User Defined    1       0
COPYTRAN        000029ae        Data Label      Global  User Defined    3       0
quitfill        000029b0        Data Label      Global  User Defined    2       0
fd_mediach      000029b4        Data Label      Global  User Defined    2       0
rseed           000029b8        Data Label      Global  User Defined    5       0
prtbdev         000029bc        Data Label      Global  User Defined    2       0
pbpar           000029be        Data Label      Global  User Defined    6       11
bdos_mempool    000029dc        Data Label      Global  User Defined    0       1
prtboch         0000414c        Data Label      Global  User Defined    5       0
bdos_memusedw   0000414e        Data Label      Global  User Defined    2       0
prtbbval        00004150        Data Label      Global  User Defined    9       0
glbcolumn       00004152        Data Label      Global  User Defined    4       0
oscnt           00004158        Data Label      Global  User Defined    2       0
msec            0000415a        Data Label      Global  User Defined    3       0
ram8x8          0000415c        Data Label      Global  User Defined    2       2
prtbflg         000041b6        Data Label      Global  User Defined    4       0
supstk          000045b8        Data Label      Global  User Defined    0       0
supstk_end      00004db8        Data Label      Global  User Defined    0       0
drivechange     00004db8        Data Label      Global  User Defined    9       0
pbt_mask        00004dba        Data Label      Global  User Defined    3       0
prtbwidth       00004dbc        Data Label      Global  User Defined    6       0
bakbuf          00004dbe        Data Label      Global  User Defined    3       0
fill            00004dca        Data Label      Global  User Defined    17      2
blkdev          00004dce        Data Label      Global  User Defined    2       0
time            00004e0e        Data Label      Global  User Defined    14      0
prtbbytes       00004e10        Data Label      Global  User Defined    2       0
rwerr           00004e12        Data Label      Global  User Defined    11      0
