Name            Location        Type         Namespace  Source
rmword          000016ae        Data Label      Global  User Defined
rmwordx         000016b0        Data Label      Global  User Defined
rmwordy         000016b2        Data Label      Global  User Defined
charx           000016b4        Data Label      Global  User Defined
chary           000016b6        Data Label      Global  User Defined
rmchar          000016b8        Data Label      Global  User Defined
rmcharx         000016ba        Data Label      Global  User Defined
rmchary         000016bc        Data Label      Global  User Defined
FLIP_Y          000016be        Data Label      Global  User Defined
deftxbu         00001766        Data Label      Global  User Defined
ptsin_array     0000197a        Data Label      Global  User Defined
linea_negative_variables        000025ac        Data Label      Global  User Defined
angle           000025ac        Data Label      Global  User Defined
beg_ang         000025ae        Data Label      Global  User Defined
CUR_FONT        000025b0        Data Label      Global  User Defined
del_ang         000025b4        Data Label      Global  User Defined
deltay          000025b6        Data Label      Global  User Defined
deltay1         000025b8        Data Label      Global  User Defined
deltay2         000025ba        Data Label      Global  User Defined
end_ang         000025bc        Data Label      Global  User Defined
fil_intersect   000025be        Data Label      Global  User Defined
fill_maxy       000025c0        Data Label      Global  User Defined
fill_miny       000025c2        Data Label      Global  User Defined
n_steps         000025c4        Data Label      Global  User Defined
odeltay         000025c6        Data Label      Global  User Defined
s_begsty        000025c8        Data Label      Global  User Defined
s_endsty        000025ca        Data Label      Global  User Defined
s_fil_col       000025cc        Data Label      Global  User Defined
s_fill_per      000025ce        Data Label      Global  User Defined
s_patmsk        000025d0        Data Label      Global  User Defined
s_patptr        000025d2        Data Label      Global  User Defined
start           000025d6        Data Label      Global  User Defined
xc              000025d8        Data Label      Global  User Defined
xrad            000025da        Data Label      Global  User Defined
_Y              000025dc        Data Label      Global  User Defined
yc              000025de        Data Label      Global  User Defined
yrad            000025e0        Data Label      Global  User Defined
m_poshx         000025e2        Data Label      Global  User Defined
m_poshy         000025e4        Data Label      Global  User Defined
m_planes        000025e6        Data Label      Global  User Defined
m_cdb_bg        000025e8        Data Label      Global  User Defined
m_cdb_fg        000025ea        Data Label      Global  User Defined
mask_form       000025ec        Data Label      Global  User Defined
INQ_TAB         0000262c        Data Label      Global  User Defined
DEV_TAB         00002686        Data Label      Global  User Defined
GCURX           000026e0        Data Label      Global  User Defined
GCURY           000026e2        Data Label      Global  User Defined
HIDE_CNT        000026e4        Data Label      Global  User Defined
MOUSE_BT        000026e6        Data Label      Global  User Defined
REQ_COL         000026e8        Data Label      Global  User Defined
SIZ_TAB         00002748        Data Label      Global  User Defined
TERM_CH         00002766        Data Label      Global  User Defined
chc_mode        00002768        Data Label      Global  User Defined
cur_work        0000276a        Data Label      Global  User Defined
def_font        0000276e        Data Label      Global  User Defined
font_ring       00002772        Data Label      Global  User Defined
ini_font_count  00002782        Data Label      Global  User Defined
line_cw         00002784        Data Label      Global  User Defined
loc_mode        00002786        Data Label      Global  User Defined
num_qc_lines    00002788        Data Label      Global  User Defined
q_circle        0000278a        Data Label      Global  User Defined
str_mode        000027da        Data Label      Global  User Defined
val_mode        000027dc        Data Label      Global  User Defined
cur_ms_stat     000027de        Data Label      Global  User Defined
disab_cnt       000027e0        Data Label      Global  User Defined
xydraw          000027e2        Data Label      Global  User Defined
draw_flag       000027e6        Data Label      Global  User Defined
mouse_flag      000027e7        Data Label      Global  User Defined
retsav          000027e8        Data Label      Global  User Defined
sav_cxy         000027ec        Data Label      Global  User Defined
save_len        000027f0        Data Label      Global  User Defined
save_addr       000027f2        Data Label      Global  User Defined
save_stat       000027f6        Data Label      Global  User Defined
save_area       000027f8        Data Label      Global  User Defined
tim_addr        000028f8        Data Label      Global  User Defined
tim_chain       000028fc        Data Label      Global  User Defined
user_but        00002900        Data Label      Global  User Defined
user_cur        00002904        Data Label      Global  User Defined
user_mot        00002908        Data Label      Global  User Defined
v_cel_ht        0000290c        Data Label      Global  User Defined
v_celmx         0000290e        Data Label      Global  User Defined
v_celmy         00002910        Data Label      Global  User Defined
v_cel_wr        00002912        Data Label      Global  User Defined
v_col_bg        00002914        Data Label      Global  User Defined
v_col_fg        00002916        Data Label      Global  User Defined
v_cur_ad        00002918        Data Label      Global  User Defined
v_cur_off       0000291c        Data Label      Global  User Defined
v_curcx         0000291e        Data Label      Global  User Defined
v_curcy         00002920        Data Label      Global  User Defined
vct_init        00002922        Data Label      Global  User Defined
v_cur_tim       00002923        Data Label      Global  User Defined
v_fnt_ad        00002924        Data Label      Global  User Defined
v_fnt_nd        00002928        Data Label      Global  User Defined
v_fnt_st        0000292a        Data Label      Global  User Defined
v_fnt_wr        0000292c        Data Label      Global  User Defined
v_hz_rez        0000292e        Data Label      Global  User Defined
v_off_ad        00002930        Data Label      Global  User Defined
V_STAT_0        00002934        Data Label      Global  User Defined
v_delay         00002935        Data Label      Global  User Defined
v_vt_rez        00002936        Data Label      Global  User Defined
bytes_lin       00002938        Data Label      Global  User Defined
lineavars       0000293a        Data Label      Global  User Defined
v_planes        0000293a        Data Label      Global  User Defined
v_lin_wr        0000293c        Data Label      Global  User Defined
CONTRL          0000293e        Data Label      Global  User Defined
INTIN           00002942        Data Label      Global  User Defined
PTSIN           00002946        Data Label      Global  User Defined
INTOUT          0000294a        Data Label      Global  User Defined
PTSOUT          0000294e        Data Label      Global  User Defined
FG_BP_1         00002952        Data Label      Global  User Defined
FG_BP_2         00002954        Data Label      Global  User Defined
FG_BP_3         00002956        Data Label      Global  User Defined
FG_BP_4         00002958        Data Label      Global  User Defined
LSTLIN          0000295a        Data Label      Global  User Defined
LN_MASK         0000295c        Data Label      Global  User Defined
WRT_MODE        0000295e        Data Label      Global  User Defined
X1              00002960        Data Label      Global  User Defined
Y1              00002962        Data Label      Global  User Defined
X2              00002964        Data Label      Global  User Defined
Y2              00002966        Data Label      Global  User Defined
patptr          00002968        Data Label      Global  User Defined
patmsk          0000296c        Data Label      Global  User Defined
multifill       0000296e        Data Label      Global  User Defined
CLIP            00002970        Data Label      Global  User Defined
XMN_CLIP        00002972        Data Label      Global  User Defined
YMN_CLIP        00002974        Data Label      Global  User Defined
XMX_CLIP        00002976        Data Label      Global  User Defined
YMX_CLIP        00002978        Data Label      Global  User Defined
XACC_DDA        0000297a        Data Label      Global  User Defined
DDA_INC         0000297c        Data Label      Global  User Defined
T_SCLSTS        0000297e        Data Label      Global  User Defined
MONO_STATUS     00002980        Data Label      Global  User Defined
SOURCEX         00002982        Data Label      Global  User Defined
SOURCEY         00002984        Data Label      Global  User Defined
DESTX           00002986        Data Label      Global  User Defined
DESTY           00002988        Data Label      Global  User Defined
DELX            0000298a        Data Label      Global  User Defined
DELY            0000298c        Data Label      Global  User Defined
FBASE           0000298e        Data Label      Global  User Defined
FWIDTH          00002992        Data Label      Global  User Defined
STYLE           00002994        Data Label      Global  User Defined
LITEMASK        00002996        Data Label      Global  User Defined
SKEWMASK        00002998        Data Label      Global  User Defined
WEIGHT          0000299a        Data Label      Global  User Defined
R_OFF           0000299c        Data Label      Global  User Defined
L_OFF           0000299e        Data Label      Global  User Defined
SCALE           000029a0        Data Label      Global  User Defined
CHUP            000029a2        Data Label      Global  User Defined
TEXT_FG         000029a4        Data Label      Global  User Defined
scrtchp         000029a6        Data Label      Global  User Defined
scrpt2          000029aa        Data Label      Global  User Defined
TEXT_BG         000029ac        Data Label      Global  User Defined
COPYTRAN        000029ae        Data Label      Global  User Defined
quitfill        000029b0        Data Label      Global  User Defined
fd_mediach      000029b4        Data Label      Global  User Defined
rseed           000029b8        Data Label      Global  User Defined
